  8.700  10.911  30.140   9.708   9.510  30.681   7.265  10.156  29.339
  2.399  39.818  30.788   2.023  41.426  30.048   3.947  39.309  30.004
  5.077  33.242  17.072   4.601  34.959  17.384   5.279  32.521  18.719
 31.960  10.529  20.475  31.234   8.896  20.755  33.738  10.219  20.347
  9.451   4.764   3.020   9.724   3.272   2.035  10.939   5.758   2.759
 36.035  41.702  11.364  36.116  40.915  12.991  34.270  41.748  10.971
 40.433  14.322  27.435  40.716  13.895  29.169  40.453  16.130  27.404
 24.080  41.425   8.063  24.568  42.706   9.243  25.610  40.526   7.711
 10.186  42.166  45.805   9.965  42.425  44.028   9.239  40.668  46.166
 43.144  21.302  16.227  42.088  21.175  14.764  44.551  22.303  15.685
 15.496   3.720  21.827  16.358   5.279  21.513  14.074   4.185  22.843
 15.194  25.851  41.747  14.368  24.264  41.481  13.919  26.909  42.476
 36.595   1.557  31.145  36.554   2.871  29.902  36.574   0.024  30.185
  3.893  26.638  41.369   2.742  25.741  40.302   5.190  25.436  41.750
 29.963  20.638  33.960  31.616  20.969  33.303  29.528  19.013  33.296
 32.839  20.429  44.538  33.010  18.844  43.683  32.767  19.993  46.292
  9.364  16.431  23.261  10.758  17.467  22.756   9.769  15.915  24.947
 13.197  42.537  14.878  14.576  41.976  13.852  13.720  42.184  16.574
  7.233  16.478  42.395   6.490  17.032  40.842   8.327  15.120  41.916
 17.288  16.882  16.448  17.548  16.547  14.689  16.812  18.626  16.511
  8.558  38.952   5.976   7.008  39.387   5.152   8.081  37.737   7.227
 21.305  21.325   5.839  21.912  22.509   4.614  20.090  20.329   4.943
 32.638  44.096  24.356  31.492  44.008  25.752  34.273  43.874  25.097
 27.308  36.974  44.554  25.787  36.458  43.721  28.553  35.784  44.001
 36.346  36.410  44.020  35.989  37.127  45.642  34.719  36.055  43.314
  4.977   9.814  36.102   6.756  10.023  36.356   4.334  11.501  35.992
 17.003  36.800  38.093  18.799  36.959  37.947  16.469  38.360  38.837
 32.346  16.036   1.828  31.485  14.452   1.682  33.678  15.720   3.011
 19.330  18.998  34.752  20.940  19.763  35.062  18.132  20.310  35.091
 39.803  12.269   9.841  40.277  13.970  10.231  38.787  11.748  11.244
 43.781  37.701  38.385  42.254  37.764  39.352  45.023  37.073  39.540
 14.619  19.301   8.517  14.048  20.995   8.795  13.104  18.312   8.484
 35.293  24.978  38.141  35.387  24.827  36.341  33.943  23.874  38.619
 11.775  36.696  30.343  12.507  37.986  29.307  13.096  36.229  31.487
 36.282  44.773  37.550  37.745  45.455  36.733  36.912  44.064  39.090
 31.469  17.910  14.875  30.446  17.507  16.312  30.633  19.316  14.104
  2.563  25.626  19.036   2.775  24.437  20.383   1.832  27.080  19.825
 35.061  31.783   2.213  35.840  33.415   2.174  35.986  30.869   3.470
 21.952   6.039  27.620  20.478   4.992  27.573  22.011   6.813  25.987
 12.626  23.366  29.497  14.344  22.882  29.203  12.627  25.167  29.330
 29.925   9.468  30.940  29.804  11.036  30.045  29.887   8.204  29.647
 18.266  15.235   0.429  17.538  16.420   1.585  19.975  15.046   0.989
 41.666  36.203  17.470  40.023  35.832  18.130  41.665  37.996  17.232
 33.331  39.861   0.434  32.159  39.029   1.532  32.354  41.146  -0.382
 44.194  45.109   7.287  42.489  45.598   6.930  45.115  45.549   5.794
 33.909  26.236  17.092  32.756  26.793  15.813  35.317  25.569  16.173
 22.610  37.162  37.547  23.262  38.848  37.483  23.722  36.206  36.488
 20.071  36.654  21.766  20.002  34.853  21.915  19.472  36.994  20.094
  7.901   5.223  26.680   6.988   3.666  26.792   6.979   6.367  27.736
 18.445  31.438  44.748  17.919  32.291  46.254  17.296  32.016  43.475
 24.076   6.042   1.234  23.501   7.601   0.518  23.558   4.779   0.047
 15.362  38.660   4.470  16.395  38.880   5.938  15.361  40.282   3.669
  7.188  26.983  17.646   5.447  26.923  18.131   7.631  25.258  17.330
 17.605  15.461  37.989  18.826  16.577  37.259  18.248  15.105  39.642
 43.750  41.497  46.806  41.943  41.545  46.870  44.271  43.076  47.518
 20.160  25.723   9.962  20.339  24.009   9.411  19.756  26.642   8.457
 18.604   1.428  28.760  18.086   1.086  30.459  17.062   1.476  27.817
 35.971  32.133   9.489  35.760  33.741  10.288  36.881  32.498   7.969
  2.429  11.071  20.009   0.792  11.641  20.526   3.546  11.671  21.299
 30.497  14.076  28.440  30.016  13.948  26.701  32.211  14.651  28.395
 34.195  29.549  20.842  32.880  30.756  20.549  34.213  28.528  19.349
 25.624  37.021  15.727  25.634  35.358  16.440  25.410  38.121  17.146
 19.040  31.360  22.544  17.801  31.271  23.859  18.249  30.573  21.121
 15.841  13.818  19.948  16.195  14.930  18.565  16.256  14.781  21.422
 14.191  46.018  25.318  14.497  47.668  24.642  15.492  44.986  24.600
 26.902  11.960  34.377  25.130  11.709  34.115  27.682  10.518  33.612
 42.740  16.683  45.317  43.218  17.586  46.810  42.169  17.965  44.175
 45.932   8.478  32.038  44.325   9.212  32.428  45.532   6.969  31.126
 42.566   2.940  31.754  40.836   3.457  31.652  43.057   3.331  33.451
  9.594  27.470   2.385  10.984  26.411   2.851   9.530  28.731   3.681
 22.121  45.912  26.416  22.851  47.195  25.370  20.890  46.786  27.413
